Name,Invalid
မဟာဗျူဟာ,0
ဘာသာ,0
ဘိသိက်,0
ဘူမိနက်သန်,18
ဘက်တော်သား,0
မြင့်မြတ်သော,0
ရတနာသစ်,0
သေနကဗျူဟာ,0
ငွေသီဟ,0
တိုးတက်သာ,0
အောင်ပန်းတိုင်,0
ချစ်ကြည်နူး,"18,10,21,27"
သုဇာတာ,0
အကြင်နာ,"18,10,21,27"
စေတနာ,0
မုဒိတာ,0
ငွေသော်တာ,0
ငွေစန္ဒာ,0
အတ္ထဗျတ္တိ,"18,10,21,27"
အောင်မြင့်ထွန်း,0
အောင်စည်တိုး,18
အောင်ထိပ်တန်း,0
ရတနာ,0
ရွှေနန်းထက်,0
စံထိပ်ထား,"18,10,21,27"
လှိုင်ထိပ်တင်,"18,10,21,27"
နေခြည်နွေး,"18,10,21,27"
အောင်မေတ္တာ,0
မယ်မဒီ,"18,10,21,27"
နွေပိတောက်,0
မြင့်မြင့်ထက်,0
အောင်သိဒ္ဓိ,0
တောင်တန်းနီ,0
အော်ရီဒူး,0
သုမန,0
ခေမရဋ္ဌ်,18
စန်းသော်တာ,0
ငွေစန္ဒာ,0
ခေတ္တာ,0
ကရုဏာ,0
ငွေတိုက်,0
ငွေဥဒေါင်း,0
ခေတ်စံတော်,0
ခိုင်မာညီနောင်,0
ခေတ်ညီနောင်,0
ကြယ်စင်ရတနာ,0
ရွှေနဒီ,0
မင်းမဏ္ဍိုင်,0
ချစ်သဲတုန်,"18,10,21,27"
အဖွားတင်,"18,10,21,27"
အမေထွား,"18,10,21,27"
စမ်းသော်တာ,0
ဆုလာဘ်တော်,18
ပျိုမဒီ,0
စိုးမိုးနိုင်,"18,10,21,27"
ဆန်းလင်းတိုး,18
ပိုင်သိုက်ထော,0
စာပေဗိမာန်,18
စိန်ဥဒေါင်း,0
စံချိန်ထိပ်,18
စံထိပ်တင်,0
စံရတနာ,0
စိန်မြရတနာ,0
ဇွဲညီနောင်,0
ပူတူးတူး,"18,10,21,27"
သဲသဲတုန်,"18,10,21,27"
မင်းကတော်,0
လေးမျက်နှာ,0
သမာဓိ,0
အန်တီနှင်း,"18,10,21,27"
ဆောင်းနဒီ,0
တပင်တိုင်,0
တက်နေထွန်း,0
ရွှေပြည်တန်,0
ဝတ်လဲတော်,0
မေ့မေတ္တာ,18
ရွှေမေတ္တာ,18
သော်တာ,0
မေတ္တာ,0
ဖေ့မေတ္တာ,18
အက်စ်ကဲနက်,0
လဝန်းအိန္ဒြေ,0
လဝန်းရတနာ,0
ရွှေဥဒေါင်း,0
ရွှေထိပ်တန်,0
ရွှေထိုက်တန်,0
ကြယ်စင်ထွန်း,0
တပင်တိုင်မြနန်း,0
ခိုင်မာရတနာ,0
ကောင်းငြိမ်းရတနာ,0
အလင်းတန်း,0
ငြိမ်းချမ်းရတနာ,0
ချမ်းငြိမ်းရတနာ,0
စိန်ရတနာ,0
ဆယ်လီရတနာ,"18,10,21,27"
ပညာနန်းတော်,0
ပုလဲနက်,0
ပိတောက်,0
ပီတိ,0
ဟင်္သာမောင်နှံ,"18,10,21,27"
ဟံသာဝတီ,0
သုတ,0
ဗိဿနိုး,0
ပိုးတီ,0
တစ်ပင်တိုင်,0
ပေါင်းကူးမေတ္တာ,"18,10,21,27"
ပစ်တိုင်းထောင်,0
ပဏ္ဍိတ,0
ပုဏ္ဏား,0
ရွှေနက်တောင်,0
ကလျာဏီ,0
နေဝတီ,0
ပန်တျာ,"18,10,21,27"
ရာဇာပတိ,0
အဓိပတိ,0
သုနန္ဒာ,0
နန္ဒာ,0
ပပဝတီ,"18,10,21,27"
သီတာ,"18,10,21,27"
ယုဝတီ,0
ဟန်နီ,"18,10,21,27"
မိဟန်နီ,"18,10,21,27"
ပျိုမျစ်နုနယ်,"18,10,21,27"
နီတိ,0
ရွှေတောင်တန်း,0
သင်းရနံ့,0
တို့ညီနောင်,0
ပွင့်ရတနာ,0
ဖိုးသူတော်,0
ဗလငါးတန်,0
ဗိမာန်နန်း,0
ဗိမာန်နန်းတော်,0
ဗေဒါ,0
ဗောဓိ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27        "
မဟာဗောဓိ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27        "
ဗောဓိသတ္တ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27        "
ဗောဓိမဏ္ဍိုင်,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27        "
မြတ်ဗုဒ္ဓ,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27        "
ဗိန္ဓော,0
ဗျတ္တိ,0
ပသာဒ,0
ဘယက်နီ,0
ဘာဝနာ,0
ဘိသိက်နန်း,0
ဘူမိဗေဒ,0
ဘေးမဲ့တော,0
ဘောဂသိဒ္ဓိ,0
ဘော်ဒါ,0
ဘဏ္ဍာတိုက်,0
ဘဏ္ဍာငွေတိုက်,0
မြရည်နန္ဒာ,0
မြတ်ရတနာ,0
မြသိန်းတန်,0
မိုးမြင့်ရတနာ,0
မြင့်မိုရ်ရတနာ,0
မြင့်မြတ်ရတနာ,0
ပွင့်သစ်ရတနာ,0
